"","kratica","datum","tip","tecaj"
"431","SDG",2016-09-03,"nakupni",6.0700001717
"432","MOP",2016-09-03,"nakupni",7.9880105
"433","NIO",2016-09-03,"nakupni",28.8592959255
"434","BMD",2016-09-03,"nakupni",1
"435","KZT",2016-09-03,"nakupni",341.75
"436","PAB",2016-09-03,"nakupni",1
"437","BAM",2016-09-03,"nakupni",1.7532451286
"438","GYD",2016-09-03,"nakupni",204.981459427
"439","YER",2016-09-03,"nakupni",249.8999938965
"440","MGA",2016-09-03,"nakupni",3047.1082942288
"441","KYD",2016-09-03,"nakupni",0.815536496
"442","MZN",2016-09-03,"nakupni",73.1299972534
"443","RSD",2016-09-03,"nakupni",110.3143960287
"444","SCR",2016-09-03,"nakupni",13.0822671831
"445","AMD",2016-09-03,"nakupni",474.7481461085
"446","SBD",2016-09-03,"nakupni",7.7760207272
"447","AZN",2016-09-03,"nakupni",1.6643569553
"448","SLL",2016-09-03,"nakupni",5575
"449","TOP",2016-09-03,"nakupni",2.261420146
"450","BZD",2016-09-03,"nakupni",1.9990172429
"451","MWK",2016-09-03,"nakupni",717.8750897344
"452","GMD",2016-09-03,"nakupni",42.7798518876
"453","BIF",2016-09-03,"nakupni",1654.2399902344
"454","SOS",2016-09-03,"nakupni",576.9874332137
"455","HTG",2016-09-03,"nakupni",64.7458724506
"456","GNF",2016-09-03,"nakupni",9051.0665325781
"457","MVR",2016-09-03,"nakupni",15.1000003815
"458","MNT",2016-09-03,"nakupni",2198
"459","CDF",2016-09-03,"nakupni",965
"460","STD",2016-09-03,"nakupni",21900
"461","TJS",2016-09-03,"nakupni",7.868899724
"462","KPW",2016-09-03,"nakupni",129.2593585277
"463","MMK",2016-09-03,"nakupni",1207.729468599
"464","LSL",2016-09-03,"nakupni",14.480245
"465","LRD",2016-09-03,"nakupni",90
"466","KGS",2016-09-03,"nakupni",68.9037414732
"467","GIP",2016-09-03,"nakupni",0.7521681246
"468","XPT",2016-09-03,"nakupni",0.0009387512
"469","MDL",2016-09-03,"nakupni",19.6862988282
"470","CUP",2016-09-03,"nakupni",26.5
"471","KHR",2016-09-03,"nakupni",4052.1999511719
"472","MKD",2016-09-03,"nakupni",54.9571334359
"473","VUV",2016-09-03,"nakupni",105.5
"474","MRO",2016-09-03,"nakupni",355.5353295457
"475","ANG",2016-09-03,"nakupni",1.7699999809
"476","SZL",2016-09-03,"nakupni",14.480245
"477","CVE",2016-09-03,"nakupni",98.5999984741
"478","SRD",2016-09-03,"nakupni",7.3899998665
"479","XPD",2016-09-03,"nakupni",0.0014736004
"480","SVC",2016-09-03,"nakupni",8.75
"481","BSD",2016-09-03,"nakupni",1
"482","XDR",2016-09-03,"nakupni",0.7163999846
"483","RWF",2016-09-03,"nakupni",798.4095681403
"484","AWG",2016-09-03,"nakupni",1.79
"485","DJF",2016-09-03,"nakupni",176.8899993896
"486","BTN",2016-09-03,"nakupni",66.573
"487","KMF",2016-09-03,"nakupni",441.009730455
