"","kratica","datum","tip","tecaj"
"471","KRW",1998-11-01,"nakupni",1318.3760683761
"472","EGP",1998-11-01,"nakupni",3.4247335702
"473","NOK",1998-11-01,"nakupni",7.3592557252
"474","DKK",1998-11-01,"nakupni",6.2984891793
"475","PKR",1998-11-01,"nakupni",55.6457431457
"476","ILS",1998-11-01,"nakupni",4.2645839093
"477","XAU",1998-11-01,"nakupni",0.0034211635
"478","CLP",1998-11-01,"nakupni",462.5187406297
"479","TWD",1998-11-01,"nakupni",32.3782535684
"480","CZK",1998-11-01,"nakupni",29.0489642185
"481","JOD",1998-11-01,"nakupni",0.7089998161
"482","FJD",1998-11-01,"nakupni",1.9684788157
"483","DZD",1998-11-01,"nakupni",55.6056236482
"484","ISK",1998-11-01,"nakupni",69.5446348061
"485","XAG",1998-11-01,"nakupni",0.196471787
"486","JMD",1998-11-01,"nakupni",35.7473928158
"487","LBP",1998-11-01,"nakupni",1500.486381323
"488","TTD",1998-11-01,"nakupni",6.242411979
"489","XCD",1998-11-01,"nakupni",2.6999824961
"490","BBD",1998-11-01,"nakupni",2.0113443735
"491","BMD",1998-11-01,"nakupni",1
"492","XPT",1998-11-01,"nakupni",0.0029726516
"493","BSD",1998-11-01,"nakupni",1
"494","XDR",1998-11-01,"nakupni",0.7100115075
"495","USD",1998-12-01,"nakupni",1
"496","EUR",1998-12-01,"nakupni",0.8568920135
"497","GBP",1998-12-01,"nakupni",0.6047530365
"498","INR",1998-12-01,"nakupni",42.5599895577
"499","AUD",1998-12-01,"nakupni",1.5854117005
"500","CAD",1998-12-01,"nakupni",1.5329774634
"501","SGD",1998-12-01,"nakupni",1.6441031485
"502","CHF",1998-12-01,"nakupni",1.3775349833
"503","MYR",1998-12-01,"nakupni",3.799020495
"504","JPY",1998-12-01,"nakupni",122.1520123709
"505","CNY",1998-12-01,"nakupni",8.2781999585
"506","NZD",1998-12-01,"nakupni",1.9076661906
"507","THB",1998-12-01,"nakupni",35.9999833847
"508","HUF",1998-12-01,"nakupni",219.0100382818
"509","AED",1998-12-01,"nakupni",3.6725
"510","HKD",1998-12-01,"nakupni",7.7445109918
"511","ZAR",1998-12-01,"nakupni",5.6598433325
"512","PHP",1998-12-01,"nakupni",39.2000265846
"513","SEK",1998-12-01,"nakupni",8.1075466674
"514","IDR",1998-12-01,"nakupni",7399.9867077409
"515","SAR",1998-12-01,"nakupni",3.7500000012
"516","BRL",1998-12-01,"nakupni",1.2012999362
"517","KES",1998-12-01,"nakupni",60.2499667693
"518","KRW",1998-12-01,"nakupni",1244.9997341544
"519","EGP",1998-12-01,"nakupni",3.415199883
"520","NOK",1998-12-01,"nakupni",7.4438366198
"521","KWD",1998-12-01,"nakupni",0.3031504722
"522","DKK",1998-12-01,"nakupni",6.3867714016
"523","PKR",1998-12-01,"nakupni",49.8501080007
"524","ILS",1998-12-01,"nakupni",4.1790003988
